"ID","name","location","info","mob_name","wear","date"
"497","amulet of heaven","drannor, green tower",".. this object, the amulet of heaven, is treasure,
   and can be referred to as 'ivory amulet heaven'.
It is of 32nd level, weighs 1 pound, and is worth 90 gold.
You can wear it around your neck.
It glows with a soft light.
When worn, it
   modifies health by 50
   modifies mana by 10
   modifies intelligence by 2
   modifies hit roll by 4
   modifies damage roll by 4
   modifies reflex save by 4
   modifies resistance to lightning by 12","undead elven healer","neck","2026-03-22 10:43:26"
"498","cap made from an elven skull","drannor, green tower",".. this object, a cap made from an elven skull, is armor,
   and can be referred to as 'skull cap'.
It is of 36th level, weighs 4 pounds, and is worth 40 gold.
You can wear it on your head.
It sheds a magical aura.
The curse upon it won't let you drop it.
It cannot be used by those of pure soul.
Armor class bonus: 6 vs pierce, 5 vs bash, 6 vs slash, and 10 vs magic.
When worn, it
   modifies intelligence by 3
   modifies damage roll by 3
   modifies hit roll by 3
   modifies health by 35
   modifies mana by 30
   modifies will save by 4
   modifies fortitude save by 3
   modifies resistance to holy by 5","lich cleric","head","2026-03-22 10:43:52"
"499","fine black dragonarmor","pax",".. this object, a fine black dragonarmor, is armor,
   and can be referred to as 'dragonarmor armor black fine'.
It is of 27th level, weighs 3 pounds, and is worth 91 gold.
You can wear it around your body.
It hums faintly.
It cannot be used by those of pure soul.
It is fireproof and resists corrosion.
Armor class bonus: 11 vs pierce, 11 vs bash, 11 vs slash, and 15 vs magic.
When worn, it
   modifies hit roll by 3
   modifies damage roll by 3
   modifies constitution by -2
   modifies health by 40
   modifies resistance to holy by 4
   modifies resistance to acid by 5","dragonarmy general","body","2026-03-22 08:23:47"
"500","platinum necklace of the Hammer","pax",".. this object, a platinum necklace of the Hammer, is treasure,
   and can be referred to as 'necklace platinum hammer'.
It is of 27th level, weighs 1 pound, and is worth 100 gold.
You can wear it around your neck.
It glows with a soft light.
When worn, it
   modifies fortitude save by 7
   modifies health by 35
   modifies hit roll by 4
   modifies damage roll by 4","overlord","neck","2026-03-22 08:24:12"
"501","spiked open-faced helmet","Malrauthin Depths","A warm wave of magic flows through your hands as you perceive that..
.. this object, a spiked open-faced helmet, is armor,
   and can be referred to as 'spiked helmet open-faced'.
It is of 29th level, weighs 1 pound, and is worth 190 gold.
You can wear it on your head.
It hums faintly.
It cannot be located by magical means.
It is fireproof and resists corrosion.
Armor class bonus: 10 vs pierce, 10 vs bash, 10 vs slash, and 10 vs magic.
When worn, it
   modifies resistance to holy by 3
   modifies hit roll by 2
   modifies damage roll by 2","flame demon","head",NULL
"502","rotting hide of a subterranian beast","rock island","A warm wave of magic flows through your hands as you perceive that..
.. this object, rotting hide of a subterranian beast, is armor,
   and can be referred to as 'rotting smelly hide'.
It is of 26th level, weighs 12 pounds, and is worth 120 gold.
You can wear it on your torso.
It sheds a magical aura.
It cannot be located by magical means.
Armor class bonus: 10 vs pierce, 10 vs bash, 10 vs slash, and 8 vs magic.
When worn, it
   modifies resistance to cold by 2
   modifies damage roll by 2
   modifies hit roll by 1
   modifies fortitude save by 1
   modifies armor class by -10","umberhalk","body",NULL
"503","acid dripping pincer","rock island","A warm wave of magic flows through your hands as you perceive that..
.. this object, an acid dripping pincer, is a dagger,
   and can be referred to as 'acid cracked pincer'.
It is of 26th level, weighs 11 pounds, and is worth 150 gold.
It glows with a soft light.
It cannot be located by magical means.
It deals 6d5 damage (averaging at 18).
Its attacks take the form of an acidic bite.
When worn, it
   modifies damage roll by 5
   modifies hit roll by -2","umberhalk","wield",NULL
"504","tentacle of a giant slug","sla-mori",".. this object, the tentacle of a giant slug, is a whip,
   and can be referred to as 'tentacle whip slug'.
It is of 28th level, weighs 8 pounds, and is worth 171 gold.
It cannot be located by magical means.
It deals 9d5 damage (averaging at 27).
Its attacks take the form of an acidic bite.
It is layered in deadly poison.
When worn, it
   modifies damage roll by 7
   modifies hit roll by -1","giant slug","wield",NULL
"505","pair of brown rakshasa claws","drannor, rakshasa tower",".. this object, a pair of brown rakshasa claws, is armor,
   and can be referred to as 'claws brown rakshasa'.
It is of 30th level, weighs 10 pounds, and is worth 140 gold.
You can wear it on your feet.
Armor class bonus: 17 vs pierce, 15 vs bash, 15 vs slash, and 0 vs magic.
When worn, it
   modifies fortitude save by 2
   modifies damage roll by 3
   modifies mana by 15","brown rakshasa","feet",NULL
"506","Djinn signet ring","south from kalaman",".. this object, a Djinn signet ring, is armor,
   and can be referred to as 'djinn signet ring'.
It is of 32nd level, weighs 1 pound, and is worth 10 gold.
You can wear it on your finger.
It glows with a soft light, hums faintly and sheds a magical aura.
Armor class bonus: 7 vs pierce, 7 vs bash, 7 vs slash, and 7 vs magic.
When worn, it
   modifies fortitude save by 3
   modifies reflex save by 3
   modifies damage roll by 3
   modifies hit roll by 2
   modifies mana by 20
   modifies constitution by 1
   modifies dexterity by 1
   modifies strength by -1","djinn lord","finger",NULL
"507","Staff of Magius","tower of high sorcery in pal",".. this object, the Staff of Magius, is an exotic weapon,
   and can be referred to as 'staff magius'.
It is of 30th level, weighs 4 pounds, and is worth 900 gold.
It glows with a soft light and sheds a magical aura.
The curse upon it won't let you drop it.
It cannot be located by magical means.
It is fireproof and resists corrosion.
It deals 7d7 damage (averaging at 28).
Its attacks take the form of a blast of light.
When worn, it
   modifies spellpower by 3
   modifies resistance to energy by 10
   modifies resistance to fire by 5
   modifies fortitude save by 3
   modifies will save by 3
   modifies reflex save by 3
   modifies constitution by -3
   modifies mana by 150","lie on the upper floor","wield",NULL
"508","golden hourglass pendant","tower of high sorcery in pal",".. this object, a golden hourglass pendant, is treasure,
   and can be referred to as 'pendant hourglass golden'.
It is of 30th level, weighs 0 pounds, and is worth 50 gold.
You can wear it around your neck.
It glows with a soft light, hums faintly and sheds a magical aura.
It cannot be located by magical means.
It is fireproof and resists corrosion.
When worn, it
   modifies resistance to lightning by 4
   modifies intelligence by 3
   modifies mana by 50


say lenta, rapida = slow, haste","lies on the ground on upper floor","neck",NULL
"509","flaming rod set with elvish teeth","dargaard keep",".. this object, a flaming rod set with elvish teeth, is a mace,
   and can be referred to as 'rod flaming bone'.
It is of 30th level, weighs 3 pounds, and is worth 13 gold.
It glows with a soft light and hums faintly.
It cannot be used by those of pure soul.
It cannot be located by magical means.
It deals 7d7 damage (averaging at 28).
Its attacks take the form of a flaming bite.
It roars with flames.
When worn, it
   modifies damage roll by 7

Caradoc, the Damned Shade's flaming bite injures you.
Caradoc, the Damned Shade's flaming rod flares with ghostly green.
Caradoc, the Damned Shade's flaming bite mauls you.

сверкает

flares","Caradoc, the Damned Shade","wield",NULL
"510","Dargaard signet ring","dargaard keep",".. this object, the Dargaard signet ring, is armor,
   and can be referred to as 'ring signet dargaard black'.
It is of 35th level, weighs 1 pound, and is worth 140 gold.
You can wear it on your finger.
It glows with a soft light and sheds a magical aura.
The curse upon it won't let you drop it.
It cannot be used by those of unbiased soul.
Armor class bonus: 7 vs pierce, 7 vs bash, 7 vs slash, and 5 vs magic.
When worn, it
   modifies strength by 2
   modifies damage roll by 4
   modifies hit roll by 4
   modifies armor class by -15
   modifies resistance to fire by 5
   modifies resistance to cold by 5
   modifies resistance to holy by 5
   modifies will save by 7
   modifies fortitude save by 7","Lord Soth","finger","2026-03-22 08:51:47"
"511","suit of blackened Solamnic plate","dargaard keep",".. this object, a suit of blackened Solamnic plate, is armor,
   and can be referred to as 'suit blackened solamnic plate'.
It is of 32nd level, weighs 5 pounds, and is worth 900 gold.
You can wear it on your torso.
It sheds a magical aura.
The curse upon it won't let you remove or drop it.
It cannot be used by those of unbiased soul.
It cannot be located by magical means.
It is fireproof and resists corrosion.
Armor class bonus: 16 vs pierce, 16 vs bash, 16 vs slash, and 16 vs magic.
When worn, it
   modifies damage roll by 6
   modifies hit roll by 3
   modifies armor class by -25
   modifies health by 80
   modifies mana by 50
   modifies wisdom by 3
   modifies strength by 3
   modifies resistance to holy by 5
   modifies resistance to negative by 5
   modifies fortitude save by 7","Lord Soth","torso","2026-03-22 08:44:36"
"512","blackened full Solamnic battle helmet","dargaard keep",".. this object, a blackened full Solamnic battle helmet, is armor,
   and can be referred to as 'helmet full battle blackened solamnic'.
It is of 30th level, weighs 3 pounds, and is worth 900 gold.
You can wear it on your head.
It sheds a magical aura.
The curse upon it won't let you remove it.
It cannot be used by those of unbiased soul.
It cannot be located by magical means.
It is fireproof and resists corrosion.
Armor class bonus: 12 vs pierce, 12 vs bash, 12 vs slash, and 11 vs magic.
When worn, it
   modifies strength by 3
   modifies wisdom by 3
   modifies constitution by 3
   modifies armor class by -25
   modifies reflex save by 5
   modifies will save by 5
   modifies fortitude save by 5
   modifies mana by 35
   modifies health by 60","Lord Soth","head","2026-03-22 08:47:59"
"513","pair of blackened Solamnic gauntlets","dargaard keep",".. this object, a pair of blackened Solamnic gauntlets, is armor,
   and can be referred to as 'gloves gauntlets blackened solamnic'.
It is of 32nd level, weighs 2 pounds, and is worth 900 gold.
You can wear it on your hands.
It sheds a magical aura.
The curse upon it won't let you remove or drop it.
It cannot be used by those of unbiased soul.
It cannot be located by magical means.
It is fireproof and resists corrosion.
Armor class bonus: 10 vs pierce, 10 vs bash, 10 vs slash, and 10 vs magic.
When worn, it
   modifies damage roll by 4
   modifies hit roll by 4
   modifies wisdom by 3
   modifies strength by 2
   modifies armor class by -15
   modifies resistance to holy by 10
   modifies resistance to negative by 10
   modifies resistance to fire by 5
   modifies health by 45
   modifies mana by 20
   modifies reflex save by 4
   modifies will save by 4","Lord Soth","hands","2026-03-22 08:45:24"
"514","torn red and black Solamnic cape","dargaard keep",".. this object, a torn red and black Solamnic cape, is armor,
   and can be referred to as 'cape solamnic torn tattered black red cloak'.
It is of 31st level, weighs 3 pounds, and is worth 750 gold.
You can wear it around your body.
It sheds a magical aura.
The curse upon it won't let you remove it.
It cannot be used by those of unbiased soul.
It cannot be located by magical means.
Armor class bonus: 11 vs pierce, 11 vs bash, 10 vs slash, and 9 vs magic.
When worn, it
   modifies strength by 2
   modifies wisdom by 2
   modifies constitution by 2
   modifies damage roll by 5
   modifies hit roll by 3
   modifies armor class by -20
   modifies resistance to holy by 10
   modifies resistance to negative by 10
   modifies health by 50
   modifies mana by 30
   modifies will save by 3","Lord Soth","body","2026-03-22 08:47:52"
"515","Skull of Fistandantilus","random world drop",".. this object, the Skull of Fistandantilus, is a light,
   and can be referred to as 'skull fistandantilus'.
It is of 38th level, weighs 0 pounds, and is worth 0 gold.
It glows with a soft light.
It can only be used by those of darkened soul.
It cannot be located by magical means.
When worn, it
   modifies health by -20
   modifies mana by 30
   modifies all saves by 3

autocast","artefact","artefact",NULL
"516","white robe of wizardry","dragon tower",".. this object, the white robe of wizardry, is armor,
   and can be referred to as 'robe white'.
It is of 40th level, weighs 1 pound, and is worth 90 gold.
You can wear it around your body.
It glows with a soft light, hums faintly and sheds a magical aura.
The curse upon it won't let you drop it.
It cannot be used by those of darkened soul.
Armor class bonus: 12 vs pierce, 12 vs bash, 12 vs slash, and 12 vs magic.
When worn, it
   modifies fortitude save by 4
   modifies health by 20
   modifies mana by 20
   modifies hit roll by 4
   modifies armor class by -13
   modifies dexterity by 3
   modifies intelligence by 3","great mage","body",NULL
"517","mithril girdle laced with purple felt","zakhar valley",".. this object, a mithril girdle laced with purple felt, is armor,
   and can be referred to as 'mithril girdle purple felt'.
It is of 26th level, weighs 4 pounds, and is worth 236 gold.
You can wear it about your waist.
Armor class bonus: 12 vs pierce, 12 vs bash, 12 vs slash, and 11 vs magic.
When worn, it
   modifies moves by 25
   modifies health by 35
   modifies resistance to acid by 10
   modifies fortitude save by 5
   modifies damage roll by 3
   modifies hit roll by 1
   modifies strength by 2","lord miles","waist",NULL
"518","diamond encrusted ruby ring","zakhar valley",".. this object, a diamond encrusted ruby ring, is armor,
   and can be referred to as 'diamond ruby ring'.
It is of 23rd level, weighs 4 pounds, and is worth 40 gold.
You can wear it on your finger.
It glows with a soft light.
Armor class bonus: 10 vs pierce, 10 vs bash, 10 vs slash, and 11 vs magic.
When worn, it
   modifies health by 20
   modifies will save by 3
   modifies hit roll by 1
   modifies damage roll by 3","lord miles","finger",NULL
"519","sparkling adamantite necklace","zakhar valley",".. this object, a sparkling adamantite necklace, is armor,
   and can be referred to as 'necklace adamantite'.
It is of 26th level, weighs 3 pounds, and is worth 132 gold.
You can wear it around your neck.
It glows with a soft light.
It is fireproof and resists corrosion.
It is designed to be used by humans.
Armor class bonus: 10 vs pierce, 10 vs bash, 10 vs slash, and 10 vs magic.
When worn, it
   modifies wisdom by 1
   modifies constitution by 1
   modifies will save by 4
   modifies fortitude save by 4
   modifies mana by 50
   modifies health by 30","lord miles","neck",NULL
"520","arborian leggings","nightfall",".. this object, arborian leggings, is armor,
  and can be referred to as 'arborian leggings'.
 It is of 35th level, weighs 1 pound, and is worth 100 gold.
 You can wear it on your legs.
 Armor class bonus: 10 vs pierce, 10 vs bash, 10 vs slash, and 6 vs magic.
 When worn, it
    modifies reflex save by 4
  modifies fortitude save by 5
  modifies resistance to poison by 10
 modifies health by 45
 modifies mana by 30","lich weaponmaster","legs",NULL
"521","arborian gauntlets","nightfall",".. this object, arborian gauntlets, is armor,
  and can be referred to as 'arborian gauntlets'.
 It is of 35th level, weighs 1 pound, and is worth 100 gold.
 You can wear it on your hands.
 Armor class bonus: 8 vs pierce, 10 vs bash, 10 vs slash, and 7 vs magic.
When worn, it
  modifies will save by 4
    modifies fortitude save by 5
    modifies moves by 20
 modifies mana by 20
  modifies health by 30","lich weaponmaster","hands",NULL
"522","razor-sharp ragonin","nightfall","and can be referred to as 'ragonin razor razor-sharp sword'.
It is of 35th level, weighs 25 pounds, and is worth 200 gold.
 It deals 7d7 damage (averaging at 28).
Its attacks take the form of a slice.
It is razor sharp.
When worn, it
  modifies health by 10
modifies resistance to cold by 8
  modifies resistance to lightning by 8
 modifies fortitude save by 4
  modifies will save by 6
  modifies damage roll by 8
  modifies hit roll by 2","lich weaponmaster","wield",NULL
"523","sceptre of gold","drannor, rakshasa tower",".. this object, a sceptre of gold, is treasure,
   and can be referred to as 'sceptre gold'.
It is of 32nd level, weighs 9 pounds, and is worth 254 gold.
You can hold it in your hands.
It is invisible.
When worn, it
   modifies hit roll by 3
   modifies damage roll by 3
   modifies will save by 5
   modifies dexterity by 2
   modifies wisdom by 2
   modifies armor class by -20
   modifies resistance to fire by 10
   modifies resistance to cold by 10
   modifies resistance to lightning by 10","lich","hold","2026-03-22 09:27:00"
"5761","black sword","drannor, red tower",".. this object, a black sword, is a sword,
   and can be referred to as 'black sword'.
It is of 32nd level, weighs 8 pounds, and is worth 110 gold.
It cannot be used by those of pure soul.
It deals 6d7 damage (averaging at 24).
Its attacks take the form of life draining energy.
When worn, it
   modifies hit roll by 5
   modifies damage roll by 5","undead paladin","wield","2026-03-22 10:38:26"
"525","jagged platemail veiled in green mist","dargaard keep",".. this object, a jagged platemail veiled in green mist, is armor,
   and can be referred to as 'plate misty jagged iron'.
It is of 35th level, weighs 8 pounds, and is worth 120 gold.
You can wear it on your torso.
It sheds a magical aura.
The curse upon it won't let you remove or drop it.
It cannot be located by magical means.
It is fireproof and resists corrosion.
Armor class bonus: 11 vs pierce, 11 vs bash, 11 vs slash, and 10 vs magic.
When worn, it
   modifies resistance to acid by 1
   modifies resistance to fire by 3
   modifies dexterity by -1
   modifies mana by -30
   modifies health by 25
   modifies damage roll by 3
   modifies hit roll by 2","Caradoc, the Damned Shade","torso",NULL
"526","icy blue sparkling longsword","asalandor",".. this object, an icy blue sparkling longsword, is a sword,
   and can be referred to as 'ice blue sword longsword'.
It is of 27th level, weighs 14 pounds, and is worth 120 gold.
It glows with a soft light, hums faintly and sheds a magical aura.
It deals 4d12 damage (averaging at 26).
Its attacks take the form of a freezing bite.
When worn, it
   modifies reflex save by 3
   modifies resistance to cold by 8
   modifies damage roll by 6
   modifies hit roll by 5

autocasts Icicle","duergar fighter champion","wield",NULL
"527","bracer of polished black glass","dargaard keep",".. this object, an bracer of polished black glass, is armor,
   and can be referred to as 'bracer glass polished'.
It is of 29th level, weighs 4 pounds, and is worth 410 gold.
You can wear it around your wrist.
It sheds a magical aura.
It can only be used by those of darkened soul.
Only necromancers can use it.
Armor class bonus: 15 vs pierce, 15 vs bash, 15 vs slash, and 15 vs magic.
When worn, it
   modifies will save by 6
   modifies health by 30
   modifies mana by 35
   modifies dexterity by 1
   modifies will spellforce by 5","experienced necromancer","wrist","2026-03-22 09:06:16"
"528","coat of black rakshasa fur","drannor, rakshasa tower",".. this object, a coat of black rakshasa fur, is armor,
   and can be referred to as 'black coat fur rakshasa'.
It is of 34th level, weighs 8 pounds, and is worth 235 gold.
You can wear it on your torso.
It sheds a magical aura.
Armor class bonus: 18 vs pierce, 20 vs bash, 19 vs slash, and 0 vs magic.
When worn, it
   modifies health by 55
   modifies all saves by 6
   modifies damage roll by 3
   modifies hit roll by 3
   modifies resistance to slashing by 7","lich","torso","2026-03-22 09:27:30"
"530","beautiful bracelet of emerald","obsidian order",".. this object, a beautiful bracelet of emerald, is armor,
   and can be referred to as 'bracelet emerald'.
It is of 35th level, weighs 7 pounds, and is worth 80 gold.
You can wear it around your wrist.
It glows with a soft light.
Armor class bonus: 5 vs pierce, 5 vs bash, 5 vs slash, and 5 vs magic.
When worn, it
   modifies mana by 20
   modifies constitution by 4","la'shana","wrist",NULL
"531","set of gleaming golden scales","pax",".. this object, a set of gleaming golden scales, is treasure,
   and can be referred to as 'scales golden'.
It is of 25th level, weighs 1 pound, and is worth 100 gold.
You can hold it in your hands.
When worn, it
   modifies intelligence by 3
   modifies health by 35
   modifies mana by 35
   modifies resistance to negative by 10","priest of shinare","hold","2026-03-22 08:24:34"
"532","bakali bracelet","strange tunnels (East from wyrmlings)",".. this object, a bakali bracelet, is armor,
   and can be referred to as 'bakali bracelet'.
It is of 25th level, weighs 1 pound, and is worth 5 gold.
You can wear it around your wrist.
It is fireproof and resists corrosion.
Armor class bonus: 0 vs pierce, 0 vs bash, 0 vs slash, and 0 vs magic.
When worn, it
   modifies health by 10
   modifies damage roll by 2
   modifies hit roll by 3","bakali","wrist",NULL
"533","bakali spear","strange tunnels (East from wyrmlings)","A warm wave of magic flows through your hands as you perceive that..
.. this object, a bakali spear, is a spear,
   and can be referred to as 'bakali spear'.
It is of 25th level, weighs 10 pounds, and is worth 15 gold.
It deals 5d9 damage (averaging at 25).
Its attacks take the form of an acidic bite.
It is designed to be used with two hands and is layered in deadly poison.
When worn, it
   modifies damage roll by 4
   modifies hit roll by 5","bakali","wield",NULL
"534","fire-wreathed whip","nightfall",".. this object, a fire-wreathed whip, is a whip,
   and can be referred to as 'whip fire'.
It is of 37th level, weighs 5 pounds, and is worth 180 gold.
It glows with a soft light and hums faintly.
It deals 6d8 damage (averaging at 27).
Its attacks take the form of a flaming bite.","balrog","wield",NULL
"535","Crown of War","pax",".. this object, the Crown of War, is treasure,
   and can be referred to as 'crown war'.
It is of 30th level, weighs 2 pounds, and is worth 100 gold.
You can wear it on your head.
It glows with a soft light.
It cannot be located by magical means.
It is designed to be used by dwarves.
When worn, it
   modifies damage roll by 5
   modifies hit roll by 5
   modifies health by 50
   modifies armor class by -15","in the throne near captain","head","2026-03-22 08:23:11"
"536","suit of blue crystal platemail","Asalandor Forest",".. this object, a suit of blue crystal platemail, is armor,
   and can be referred to as 'suit plate crystal blue'.
It is of 35th level, weighs 10 pounds, and is worth 31 gold.
You can wear it on your torso.
It glows with a soft light and sheds a magical aura.
It cannot be used by those of darkened soul.
It cannot be located by magical means.
Armor class bonus: 11 vs pierce, 11 vs bash, 11 vs slash, and 11 vs magic.
When worn, it
   modifies fortitude save by 4
   modifies will save by 4
   modifies reflex save by 4
   modifies resistance to cold by 6
   modifies damage roll by 3
   modifies hit roll by 1
   modifies mana by 30
   modifies health by 45","minotaur battlemaster","torso",NULL
"537","pair of blue crystal leggings","Asalandor Forest",".. this object, a pair of blue crystal leggings, is armor,
   and can be referred to as 'leggings crystal blue'.
It is of 35th level, weighs 5 pounds, and is worth 44 gold.
You can wear it on your legs.
It glows with a soft light and sheds a magical aura.
It cannot be used by those of darkened soul.
It cannot be located by magical means.
Armor class bonus: 11 vs pierce, 11 vs bash, 11 vs slash, and 8 vs magic.
When worn, it
   modifies reflex save by 4
   modifies health by 25
   modifies resistance to cold by 3
   modifies hit roll by 1
   modifies damage roll by 2","minotaur battlemaster","legs",NULL
"538","huge polearm carved from sharp blue crystal","Asalandor Forest",".. this object, a huge polearm carved from sharp blue crystal, is a polearm,
   and can be referred to as 'polearm sharp blue crystal'.
It is of 29th level, weighs 16 pounds, and is worth 110 gold.
It glows with a soft light and hums faintly.
The curse upon it won't let you remove it.
It can only be used by those of pure soul.
It deals 4d13 damage (averaging at 28).
Its attacks take the form of a freezing bite.
It is designed to be used with two hands.
When worn, it
   modifies fortitude save by 4
   modifies mana by 10
   modifies health by 35
   modifies resistance to cold by 10
   modifies damage roll by 4
   modifies hit roll by 4","minotaur battlemaster","wield",NULL
"539","pair of blue crystal armlets","Asalandor Forest",".. this object, a pair of blue crystal armlets, is armor,
   and can be referred to as 'armlets crystal blue'.
It is of 40th level, weighs 5 pounds, and is worth 29 gold.
You can wear it on your arms.
It glows with a soft light and sheds a magical aura.
It cannot be used by those of darkened soul.
It cannot be located by magical means.
Armor class bonus: 14 vs pierce, 14 vs bash, 14 vs slash, and 10 vs magic.
When worn, it
   modifies resistance to cold by 4
   modifies reflex save by 3
   modifies fortitude save by 3
   modifies damage roll by 2
   modifies health by 25","minotaur battlemaster","arms",NULL
"540","pair of golden armplates","Saltcove",".. this object, a pair of golden armplates, is armor,
   and can be referred to as 'golden armplates'.
It is of 30th level, weighs 10 pounds, and is worth 220 gold.
You can wear it on your arms.
It glows with a soft light.
Only assassins can use it.
Armor class bonus: 7 vs pierce, 7 vs bash, 7 vs slash, and 7 vs magic.
When worn, it
   modifies hit roll by 6
   modifies damage roll by 6
   modifies health by 35","Bernard the white","arms","2026-03-22 08:10:48"
"541","carved bronze wristband","Saltcove",".. this object, a carved bronze wristband, is armor,
   and can be referred to as 'carved bronze wristband'.
It is of 27th level, weighs 4 pounds, and is worth 342 gold.
You can wear it around your wrist.
The curse upon it won't let you remove or drop it.
It cannot be used by those of unbiased soul.
Armor class bonus: 8 vs pierce, 8 vs bash, 8 vs slash, and 8 vs magic.
When worn, it
   modifies hit roll by 6
   modifies damage roll by 6","Bernard the white","wrist","2026-03-22 08:18:41"
"542","ring engraved with five dragon heads","dragon camp",".. this object, a ring engraved with five dragon heads, is armor,
   and can be referred to as 'ring unholy dragon-headed'.
It is of 26th level, weighs 3 pounds, and is worth 19 gold.
You can wear it on your finger.
It cannot be used by those of pure soul.
Armor class bonus: 10 vs pierce, 10 vs bash, 10 vs slash, and 10 vs magic.
When worn, it
   modifies resistance to disease by 5
   modifies mana by 20
   modifies damage roll by 2

autocast","cleric","finger",NULL
"543","blood-stained belt buckle","dragon camp",".. this object, a blood-stained belt buckle, is armor,
   and can be referred to as 'belt bloody'.
It is of 29th level, weighs 9 pounds, and is worth 219 gold.
You can wear it about your waist.
It cannot be used by those of pure soul.
Armor class bonus: 16 vs pierce, 16 vs bash, 16 vs slash, and 16 vs magic.
When worn, it
   modifies constitution by -4
   modifies health by 25
   modifies damage roll by 3","Large Black Dragon","waist",NULL
"544","pair of acid-etched black dragon claws","dragon camp",".. this object, a pair of acid-etched black dragon claws, is armor,
   and can be referred to as 'black dragonclaw claw'.
It is of 29th level, weighs 8 pounds, and is worth 213 gold.
You can wear it on your hands.
It cannot be used by those of pure soul.
Armor class bonus: 9 vs pierce, 9 vs bash, 9 vs slash, and 9 vs magic.
When worn, it
   modifies will save by 2
   modifies reflex save by 1
   modifies damage roll by 3","large black dragon","hands",NULL
"545","heart-shaped ebony box","dragon camp",".. this object, a heart-shaped ebony box, is a container,
   and can be referred to as 'box heart heart-shaped ebony'.
It is of 1st level, weighs 9 pounds, and is worth 1 gold.
You can wear it around your body.
You can hold it in your hands.
It sheds a magical aura.
It is fireproof and resists corrosion.
Capacity: 750#  Maximum weight: 50#

You follow Erty.
Branches snap and crack around you as you fly through the dense forest.
Forest of Silvanesti

[Exits: north east west]
(Translucent) (White Aura) (Blue Shield) Erty the male wild elf is here.
(White Aura) A shadowy figure floating passively in the air, whispering a strange songs.
An air elemental has arrived from the north.


Erty gives a heart-shaped ebony box to a shadow of dead elven maid.
A shadow of dead elven maid says, 'Thank you, let the gods of light guard over you, now my soul with me and i can be free.'
A shadow of dead elven maid becomes surrounded by a glow of pure white light and then disappears.","large black dragon","hold",NULL
"546","iron platemail gilt with pure black metal","east from wyrmlings",".. this object, an iron platemail gilt with pure black metal, is armor,
   and can be referred to as 'iron platemail'.
It is of 25th level, weighs 12 pounds, and is worth 20 gold.
You can wear it around your body.
Armor class bonus: 0 vs pierce, 0 vs bash, 0 vs slash, and 0 vs magic.
When worn, it
   modifies health by 20
   modifies damage roll by 4
   modifies reflex save by 5
   modifies strength by 2
   modifies dexterity by -1","huge earthworm","torso",NULL
"547","ancient flail named 'Retribution'","east from wyrmlings",".. this object, the ancient flail named 'Retribution', is a flail,
   and can be referred to as 'flail shining retribution'.
It is of 30th level, weighs 10 pounds, and is worth 300 gold.
It glows with a soft light and hums faintly.
It cannot be used by those of darkened soul.
It cannot be located by magical means.
It deals 4d12 damage (averaging at 26).
Its attacks take the form of divine power.
When worn, it
   modifies hit roll by 5
   modifies damage roll by 4

flares","huge earthworm","wield",NULL
"548","magnificent axe named 'Honor's Face'","minotaur village",".. this object, a magnificent axe named 'Honor's Face', is an axe,
   and can be referred to as 'axe honor's face honor'.
It is of 30th level, weighs 9 pounds, and is worth 440 gold.
It glows with a soft light and sheds a magical aura.
The curse upon it won't let you remove it.
It cannot be located by magical means.
It is fireproof and resists corrosion.
It is designed to be used by minotaurs.
It deals 2d28 damage (averaging at 29).
Its attacks take the form of divine power.
When worn, it
   modifies hit roll by 4
   modifies damage roll by 6

flares","kaz","wield",NULL
"549","suit of armor engraved with royal crest","minotaur village",".. this object, a suit of armor engraved with royal crest, is armor,
   and can be referred to as 'suit armor kaziganthi'.
It is of 27th level, weighs 11 pounds, and is worth 240 gold.
You can wear it on your torso.
It is fireproof and resists corrosion.
Armor class bonus: 14 vs pierce, 14 vs bash, 14 vs slash, and 14 vs magic.
When worn, it
   modifies resistance to acid by 3
   modifies resistance to cold by 4
   modifies health by 20
   modifies resistance to fire by 9
   modifies hit roll by 2
   modifies damage roll by 3","kaz","torso",NULL
"550","mask of a ravening seasnake","naiadian depths",".. this object, the mask of a ravening seasnake, is armor,
   and can be referred to as 'mask seasnake'.
It is of 28th level, weighs 5 pounds, and is worth 94 gold.
You can wear it on your head.
Armor class bonus: 12 vs pierce, 12 vs bash, 12 vs slash, and 12 vs magic.
When worn, it
   modifies resistance to poison by 3
   modifies health by 40
   modifies mana by 40
   modifies resistance to lightning by 5
   modifies fortitude save by 8
   modifies will save by 5
   modifies armor class by -10","Vanshamar, the Merfolk prince","head",NULL
"551","fists of the Obsidian Commander","obsidian order",".. this object, the fists of the Obsidian Commander, is armor,
   and can be referred to as 'fists commander'.
It is of 37th level, weighs 11 pounds, and is worth 8 gold.
You can wear it on your hands.
It hums faintly and sheds a magical aura.
It cannot be used by those of pure soul.
Armor class bonus: 9 vs pierce, 9 vs bash, 9 vs slash, and 9 vs magic.
When worn, it
   modifies reflex save by 4
   modifies strength by 2
   modifies damage roll by 4","Obsidian Commander","hands",NULL
